feature,platform,account,teleology,inputs,outputs,persistence_stratum,permissions_filesystem,permissions_network,best_fit_tasks,anti_fit_tasks,failure_modes,cost_per_month,rate_limit
claude_code_cli,claude,hybrid,"Filesystem-native agentic execution with constitutional governance","text_prompt;file_path;conversation_history","text_response;file_creation;file_modification;execution_result",repo,write,limited,"execution;code_generation;file_manipulation;verification","corpus_sensing;video_processing;long_planning","context_overflow;tool_rejection;session_fragmentation",$20,~45_opus/5hr
claude_web_app,claude,personal,"Strategic synthesis and Oracle session generation","text_prompt;project_memory;artifacts","text_response;artifacts;structured_analysis",project,none,limited,"strategic_synthesis;directive_generation;complex_analysis","execution;file_manipulation;real_time_automation","context_loss_on_export;artifact_non_portable",$20,~45_opus/5hr
claude_cowork,claude,personal,"Sandboxed desktop automation with file processing","text_prompt;local_files","file_creation;file_modification;document_generation",session,write,none,"file_conversion;document_generation;parallel_subtasks","github_integration;cross_device;sensitive_credentials","no_audit_logs;macos_only;no_gsuite",$20,included_pro
claude_project_memory,claude,personal,"Persistent cross-session context within project","conversation_history;file_uploads","project_knowledge;contextual_recall",project,none,none,"long_running_projects;client_isolation;knowledge_accumulation","ephemeral_tasks;multi_project_synthesis","memory_invisible;export_limited",$0,n/a
gemini_web_app,gemini,google,"Corpus-scale sensing and video processing","text_prompt;url;google_services","text_response;evidence_packets",account,none,full,"corpus_sensing;video_processing;large_context_analysis","execution;file_manipulation;confidential_work","personal_data_in_context;no_project_isolation",$20,liberal
gemini_personal_intelligence,gemini,google,"Cross-service proactive synthesis from Google ecosystem","gmail;photos;calendar;drive;search","proactive_insights;personalized_responses",account,none,full,"personal_productivity;schedule_synthesis;email_summarization","confidential_client_work;multi_context_isolation","all_data_visible;us_only;english_only",$20,us_beta
gemini_notebooklm,gemini,google,"Zero-hallucination grounded RAG with citations","uploaded_documents","cited_responses;audio_overviews",project,none,none,"source_verification;audio_digest;historical_archaeology","real_time_queries;execution;live_data","50_source_limit;upload_required",$0,liberal
gemini_ai_studio,gemini,google,"Programmatic API access with context caching","api_calls;prompts","api_responses;batch_results",ephemeral,none,full,"batch_processing;prototyping;cost_optimization","interactive_sessions;persistent_context","rate_limits;billing_required",$0_api,pay_per_use
chatgpt_web_app,openai,openai,"Long-horizon planning and specification generation","text_prompt;account_memory;custom_instructions","text_response;structured_plans;canvas_documents",account,none,limited,"planning;specification;audit;deep_research","execution;file_manipulation;corpus_sensing","memory_fragmentation;thinking_quota",$20,~160_instant/3hr
chatgpt_agent_mode,openai,openai,"Autonomous web and desktop automation","text_prompt;browser_access","task_completion;execution_logs",session,read,full,"web_automation;form_filling;research_aggregation","code_generation;repo_operations;sensitive_tasks","prompt_injection;session_limits",$20,40/month_plus
chatgpt_codex_cli,openai,openai,"GitHub-integrated agentic coding","github_repo;text_prompt","pr_reviews;issue_management;code_changes",external_doc,write,full,"github_workflows;pr_reviews;issue_triage","non_github_repos;local_development","github_only;requires_repo_access",$20,included_plus
chatgpt_health,openai,openai,"Health-specific queries with isolated memory","health_data;wearable_integrations","health_insights;recommendations",account_isolated,none,limited,"health_queries;fitness_tracking;symptom_analysis","general_queries;confidential_work","us_only;eea_blocked",$20,included
chatgpt_deep_research,openai,openai,"Multi-pass external research with citations","research_query","research_reports;citations",session,none,full,"external_research;market_analysis;competitive_intel","corpus_queries;internal_knowledge","slow_2-4min;external_only",$20,limited
grok_voice_api,xai,xai,"Real-time conversational agency with tool calling","voice_input;tool_calls","voice_output;action_results",session,none,full,"embedded_voice_agents;real_time_interaction;multilingual","text_heavy_work;complex_reasoning","no_browser;voice_only",$0.05/min,n/a
perplexity_pro,perplexity,perplexity,"High-accuracy research with multi-model aggregation","search_query","cited_responses;source_links",ephemeral,none,full,"factual_research;current_events;source_verification","execution;planning;long_conversations","stateless;no_memory",$20,liberal
