feature,platform,account,version,teleology,role_in_architecture,persistence_stratum,context_window,permissions_filesystem,permissions_network,best_fit_tasks,anti_fit_tasks,failure_modes,cost_per_month,rate_limit,verification_method
claude_code_cli,claude,hybrid,opus-4.5,"Filesystem-native agentic execution with constitutional governance",executor,repo,200000,write,limited,"execution;code_generation;file_manipulation;verification","corpus_sensing;video_processing;long_planning","context_overflow;tool_rejection;session_fragmentation",$20,~45_opus/5hr,command_output
claude_web_app,claude,personal,opus-4.5,"Strategic synthesis and Oracle session generation",concierge,project,200000,none,limited,"strategic_synthesis;directive_generation;complex_analysis","execution;file_manipulation;real_time_automation","context_loss_on_export;artifact_non_portable;memory_opacity",$20,~45_opus/5hr,artifact_check
claude_cowork,claude,personal,sonnet,"Sandboxed desktop automation with file processing",executor,session,200000,write,none,"file_conversion;document_generation;parallel_subtasks","github_integration;cross_device;sensitive_credentials","no_audit_logs;macos_only;no_gsuite",$0,included_pro,manual
claude_project_memory,claude,personal,n/a,"Persistent cross-session context within project",utility,project,n/a,none,none,"long_running_projects;client_isolation;knowledge_accumulation","ephemeral_tasks;multi_project_synthesis","memory_invisible;export_limited;drift_from_reality",$0,n/a,manual
gemini_web_app,gemini,google,2.5-pro,"Corpus-scale sensing and video processing",oracle,account,2000000,none,full,"corpus_sensing;video_processing;large_context_analysis","execution;file_manipulation;confidential_work","personal_data_in_context;no_project_isolation",$20,liberal,command_output
gemini_deep_research,gemini,google,2.5-pro,"Multi-stage research with web synthesis",sensor,session,2000000,none,full,"external_research;deep_investigation;source_gathering","quick_queries;internal_knowledge","slow_multi_minute;external_only",$20,liberal,artifact_check
gemini_personal_intelligence,gemini,google,n/a,"Cross-service proactive synthesis from Google ecosystem",sensor,account,n/a,none,full,"personal_productivity;schedule_synthesis;email_summarization","confidential_client_work;multi_context_isolation","all_data_visible;us_only;english_only",$20,us_beta,manual
gemini_notebooklm,gemini,google,n/a,"Zero-hallucination grounded RAG with citations",oracle,project,1500000,none,none,"source_verification;audio_digest;historical_archaeology","real_time_queries;execution;live_data","50_source_limit;upload_required;no_cross_notebook",$0,liberal,artifact_check
gemini_ai_studio,gemini,google,2.5-pro,"Programmatic API access with context caching",utility,ephemeral,2000000,none,full,"batch_processing;prototyping;cost_optimization","interactive_sessions;persistent_context","rate_limits;billing_required",$0,pay_per_use,command_output
chatgpt_web_app,openai,openai,gpt-5.2,"Long-horizon planning and specification generation",deviser,account,128000,none,limited,"planning;specification;audit;deep_research","execution;file_manipulation;corpus_sensing","memory_fragmentation;thinking_quota;prompt_injection",$20,~160_instant/3hr,artifact_check
chatgpt_agent_mode,openai,openai,gpt-5.2,"Autonomous web and desktop automation",executor,session,128000,read,full,"web_automation;form_filling;research_aggregation","code_generation;repo_operations;sensitive_tasks","prompt_injection;session_limits;action_visibility",$20,40/month_plus,manual
chatgpt_codex_cli,openai,openai,gpt-5.2,"GitHub-integrated agentic coding",executor,external_doc,128000,write,full,"github_workflows;pr_reviews;issue_triage","non_github_repos;local_development","github_only;requires_repo_access",$20,included_plus,command_output
chatgpt_deep_research,openai,openai,gpt-5.2,"Multi-pass external research with citations",sensor,session,128000,none,full,"external_research;market_analysis;competitive_intel","corpus_queries;internal_knowledge","slow_2-4min;external_only",$20,limited,artifact_check
chatgpt_canvas,openai,openai,gpt-5.2,"Collaborative document editing surface",utility,session,128000,none,none,"drafting;iteration;specification_refinement","execution;file_manipulation","no_export_to_repo;session_bound",$20,included,manual
grok_web,xai,xai,grok-3,"Real-time information with X platform integration",sensor,ephemeral,128000,none,full,"current_events;social_sentiment;real_time_queries","long_planning;execution","no_memory;x_bias",$0,free_tier,manual
grok_voice_api,xai,xai,grok-3,"Real-time conversational agency with tool calling",utility,session,128000,none,full,"embedded_voice_agents;real_time_interaction;multilingual","text_heavy_work;complex_reasoning","no_browser;voice_only",$0.05/min,n/a,command_output
perplexity_pro,perplexity,perplexity,n/a,"High-accuracy research with multi-model aggregation",sensor,ephemeral,128000,none,full,"factual_research;current_events;source_verification","execution;planning;long_conversations","stateless;no_memory",$20,liberal,artifact_check
notion_ai,notion,personal,n/a,"In-document AI assistance",utility,external_doc,n/a,none,none,"drafting;summarization;brainstorming","execution;structured_data","workspace_bound;no_code",$10,included,manual
google_docs_ai,google,google,n/a,"In-document writing assistance",utility,external_doc,n/a,none,none,"drafting;rewriting;summarization","execution;structured_data","document_bound;limited_reasoning",$0,included,manual
midjourney,midjourney,personal,v6,"Image generation from text prompts",utility,external_doc,n/a,none,none,"visual_creation;concept_visualization","text;code;analysis","discord_interface;no_api",$10,varies,manual
supabase,supabase,hybrid,n/a,"Backend-as-a-service with AI integrations",utility,external_doc,n/a,none,full,"data_persistence;api_endpoints;auth","content_generation;analysis","requires_setup;billing",$25,pay_per_use,command_output
mcp_server,mcp,hybrid,n/a,"Tool integration protocol for Claude",utility,session,n/a,varies,varies,"external_tool_calling;capability_extension","standalone_operation","setup_required;version_dependency",$0,n/a,command_output
