table_name,table_type,update_frequency,record_count_estimate,maintenance_burden,critical_for_routing,description
TEXT,TEXT,TEXT,TEXT,TEXT,BOOLEAN,TEXT
T0_CONSTITUTIONAL_LAYERS,bedrock,rare,11,none,TRUE,Frequency-ordered interaction layers L0-L10
T0_CAPABILITY_CLASSES,bedrock,rare,30,none,TRUE,Hierarchical transformation primitives
T0_MODALITIES,bedrock,rare,9,none,TRUE,Fundamental data types for processing
T0_CONTEXTS,bedrock,rare,17,none,TRUE,Multidimensional usage situations
T0_FEATURE_PRIMITIVES,bedrock,occasional,40+growing,low,FALSE,Extractable capabilities worth preserving
T0_ENTITY_STATES,bedrock,rare,10,none,TRUE,Lifecycle stage taxonomy
T0_RELATIONSHIP_TYPES,bedrock,rare,9,none,TRUE,Meaningful entity connection types
T1_ENTITIES,settlement,daily,447+growing,medium,TRUE,Core application/service/tool registry
T1_MODELS,settlement,weekly,50+growing,low,TRUE,AI model specifications and pricing
T1_RESEARCH_LABS,settlement,monthly,15+growing,low,FALSE,Model provider organizations
T2_CAPABILITIES,intelligence,weekly,100+growing,low,TRUE,Actual capability instances and hierarchies
T2_ECOSYSTEMS,intelligence,monthly,15+growing,low,FALSE,Stable platform keystones
T2_APPARATUS,intelligence,automatic,20+growing,none,TRUE,Observed workflow patterns (automated)
T2_STACKS,intelligence,monthly,20+growing,low,FALSE,Technology composition patterns
T3_ENTITY_CAPABILITIES,junction,weekly,2000+growing,medium,TRUE,Entity-capability many-to-many mapping
T3_ENTITY_FEATURES,junction,manual,1000+growing,high,FALSE,Primitive extraction tracking
T3_RELATIONSHIPS,junction,manual,500+growing,high,TRUE,Entity-to-entity connections
T3_USAGE_LOG,tracking,automatic,unlimited,none,TRUE,Automated activity tracking (automated)
T3_EVOLUTION_TRACKER,tracking,automatic,500+growing,none,FALSE,Version and status monitoring (automated)
T3_DISCOVERY_QUEUE,tracking,automatic,50+growing,none,FALSE,Automated new entity feed (automated)
AUTOMATION_CONFIG,system,manual,12,low,TRUE,System intelligence parameters
VIEW_DEFINITIONS,system,occasional,12,low,TRUE,Analytical perspectives specification
