state_id,state_name,usage_intent,maintenance_requirement,discovery_status,description
TEXT,TEXT,TEXT,TEXT,TEXT,TEXT
STA_ACT,Active,regular_use,monitor,adopted,Currently in regular workflow rotation
STA_PRI,Primary,regular_use,maintain,adopted,Designated first-choice for capability
STA_SEC,Secondary,backup,passive,adopted,Backup option when primary unavailable
STA_TRL,Trial,evaluation,active,testing,Under assessment for potential adoption
STA_REP,Repository,feature_extraction,catalog,adopted,Preserved for valuable idiosyncratic features
STA_CON,Consolidation Target,merge_candidate,plan,adopted,Will combine with others into bespoke tool
STA_EXT,Extracted,archived,none,completed,Features documented and preserved elsewhere
STA_DEP,Deprecated,phase_out,remove,obsolete,No longer relevant or superseded
STA_IDL,Idle,installed_unused,review,uncertain,Installed but never activated
STA_WIS,Wishlist,not_yet_acquired,research,discovery,Identified but not yet obtained
