modality_id,modality_name,primary_sense,computational_format,description
TEXT,TEXT,TEXT,TEXT,TEXT
MOD_TXT,Text,visual,unicode,Character-based symbolic information
MOD_IMG,Image,visual,raster,Static two-dimensional visual representations
MOD_AUD,Audio,auditory,waveform,Time-series sound information
MOD_VID,Video,visual,sequence,Temporal sequences of images with optional audio
MOD_COD,Code,visual,ast,Executable instructions in programming languages
MOD_3D,3D,visual,mesh,Three-dimensional geometric and spatial data
MOD_VEC,Vector,visual,path,Scalable mathematical shape definitions
MOD_DAT,Data,abstract,structured,Tabular or graph-structured information
MOD_MUL,Multimodal,multiple,hybrid,Combined processing across multiple modalities
