lab_id,lab_name,founding_year,primary_modality,api_available,pricing_structure,documentation_url,status,description
TEXT,TEXT,INTEGER,TEXT,BOOLEAN,TEXT,TEXT,TEXT,TEXT
LAB_ANT,Anthropic,2021,text,TRUE,token_based,https://docs.anthropic.com,active,Constitutional AI and Claude model family
LAB_OAI,OpenAI,2015,multimodal,TRUE,token_based,https://platform.openai.com,active,GPT models and DALL-E
LAB_GOO,Google DeepMind,2010,multimodal,TRUE,token_based,https://ai.google.dev,active,Gemini and specialized AI research
LAB_MET,Meta,2013,multimodal,TRUE,open_source,https://ai.meta.com,active,Llama models and AR/VR AI
LAB_DPS,DeepSeek,2023,text_code,TRUE,token_based,https://platform.deepseek.com,active,Chinese open-source models with coding focus
LAB_ALI,Alibaba Cloud,2009,text,TRUE,token_based,https://help.aliyun.com,active,Qwen model family for Asian markets
LAB_MSF,Microsoft,1975,multimodal,TRUE,token_based,https://azure.microsoft.com/ai,active,Azure AI and Copilot services
LAB_MID,Midjourney,2021,image,FALSE,subscription,https://docs.midjourney.com,active,Discord-based image generation service
LAB_STA,Stability AI,2020,image,TRUE,per_generation,https://platform.stability.ai,active,Stable Diffusion open-source models
LAB_ELE,ElevenLabs,2022,audio,TRUE,character_based,https://elevenlabs.io/docs,active,Voice synthesis and cloning
LAB_SUN,Suno,2023,audio,FALSE,subscription,https://suno.ai,active,Full song generation platform
LAB_RUN,Runway,2018,video,TRUE,per_generation,https://docs.runwayml.com,active,Video generation and editing AI
