capability_id,capability_name,parent_capability_id,capability_class_id,depth,description,synonyms
TEXT,TEXT,TEXT,TEXT,INTEGER,TEXT,TEXT
# Sample records showing hierarchical structure
CAP_TXEDT,Text Edit,NULL,CAP_TRN_EDT,0,Modify existing text documents,edit text|text editing|text modification
CAP_MDEDT,Markdown Edit,CAP_TXEDT,CAP_TRN_EDT,1,Edit markdown-formatted documents,markdown editor|md editing
CAP_CDEDT,Code Edit,CAP_TXEDT,CAP_TRN_EDT,1,Edit source code with syntax awareness,code editor|programming|ide
CAP_PYEDT,Python Edit,CAP_CDEDT,CAP_TRN_EDT,2,Edit Python source code specifically,python editor|py editing
CAP_JSEDT,JavaScript Edit,CAP_CDEDT,CAP_TRN_EDT,2,Edit JavaScript source code,js editor|javascript editing
CAP_IMGGEN,Image Generate,NULL,CAP_GEN_IMG,0,Create images from text descriptions,image generation|text to image|ai art
CAP_PHGEN,Photo Generate,CAP_IMGGEN,CAP_GEN_IMG,1,Generate photorealistic images,photorealistic generation|realistic images
CAP_ARGEN,Art Generate,CAP_IMGGEN,CAP_GEN_IMG,1,Generate artistic or stylized images,artistic generation|stylized art
CAP_IMGEDT,Image Edit,NULL,CAP_TRN_EDT,0,Modify existing images,image editing|photo editing
CAP_BGRM,Background Remove,CAP_IMGEDT,CAP_TRN_EXT,1,Extract subject by removing background,bg removal|background extraction|cutout
CAP_PDFEDT,PDF Edit,NULL,CAP_TRN_EDT,0,Modify PDF documents,pdf editor|pdf modification
CAP_PDFFRM,PDF Form Fill,CAP_PDFEDT,CAP_TRN_EDT,1,Complete fillable PDF forms,form filling|pdf forms
CAP_PDFANN,PDF Annotate,CAP_PDFEDT,CAP_TRN_EDT,1,Add comments and markup to PDFs,pdf annotation|pdf markup|pdf comments
CAP_NOTTKN,Note Taking,NULL,CAP_ORG_STR,0,Capture and organize written notes,notetaking|note capture|jot down
CAP_NOTMD,Markdown Notes,CAP_NOTTKN,CAP_ORG_STR,1,Note-taking using markdown format,markdown notes|md notes
CAP_NOTDB,Database Notes,CAP_NOTTKN,CAP_ORG_STR,1,Structured notes with database properties,database notetaking|structured notes|notion-style
CAP_TASKMGT,Task Manage,NULL,CAP_ORG_STR,0,Organize and track actionable items,task management|todo|task tracking
CAP_PROJMGT,Project Manage,CAP_TASKMGT,CAP_ORG_STR,1,Coordinate complex multi-task initiatives,project management|project planning|project coordination
